Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,1,2020-01-04,60182,55019,844,11567,1829,2535,1560,3503,1066,1095,641,14204,3109,0,0,,,,,,,,,,,,,,,
United States,2020,2,2020-01-11,60737,55756,863,11961,1943,2566,1529,3709,1036,1092,652,13912,3189,3,2,,,,,,,,,,,,,,,
United States,2020,3,2020-01-18,59363,54522,831,11704,1820,2490,1484,3526,993,1121,621,13592,3258,3,2,,,,,,,,,,,,,,,
United States,2020,4,2020-01-25,59161,54401,830,11881,1865,2517,1488,3402,979,1107,646,13610,3185,2,1,,,,,,,,,,,,,,,
United States,2020,5,2020-02-01,58833,54005,813,11962,1828,2480,1413,3314,981,1074,626,13466,3084,0,0,,,,,,,,,,,,,,,
United States,2020,6,2020-02-08,59479,54410,809,11709,1957,2514,1464,3413,974,1136,604,14003,3057,3,2,,,,,,,,,,,,,,,
United States,2020,7,2020-02-15,58808,53966,794,11814,1844,2537,1514,3478,978,1070,623,13638,3087,2,0,,,,,,,,,,,,,,,
United States,2020,8,2020-02-22,58913,53987,782,11782,1880,2515,1463,3454,968,1057,618,13628,3083,6,6,,,,,,,,,,,,,,,
United States,2020,9,2020-02-29,59340,54323,820,11791,1830,2519,1506,3460,1011,1092,691,13715,3127,9,9,,,,,,,,,,,,,,,
United States,2020,10,2020-03-07,59695,54392,815,11712,1867,2510,1610,3471,1004,1071,667,13688,3096,37,33,,,,,,,,,,,,,,,
